Äŕňŕ;Ęîđäčíŕňű,0;;Ďëîůŕäü ďîćŕđŕ, ęě2;Ńđĺäí˙˙ ňĺěďĺđŕňóđŕ âîçäóőŕ, Ń0;Ńđĺäí˙˙ îňíîńčňĺëüíŕ˙ âëŕćíîńňü âîçäóőŕ, %;Ęîëč÷ĺńňâî îńŕäęîâ, ěě;Íŕďđŕâëĺíčĺ âĺňđŕ â 12:00;Ńđĺäí˙˙ ńęîđîńňü âĺňđŕ, ě/c;Çŕăđ˙çíĺíčĺ 137Cs, ęÁę/ě2;Ďđčěĺ÷ŕíčĺ
;ń,ř;â,ä;;;;;;;;
27.03.15;52.734000 ;31.810899 ;N/A;4,1;84,3;0;Â;5,2;;
27.03.15;52.334399 ;32.064300 ;N/A;4,1;84,3;0;Â;5,2;;
27.03.15;52.323400 ;32.788499 ;N/A;4,1;84,3;0;Â;5,2;;
27.03.15;52.674700 ;32.335400 ;N/A;4,1;84,3;0;Â;5,2;;
27.03.15;52.676900 ;32.341899 ;N/A;4,1;84,3;0;Â;5,2;;
27.03.15;53.312000 ;33.587600 ;N/A;4,1;84,3;0;Â;5,2;;
27.03.15;53.172500 ;33.533300 ;N/A;4,1;84,3;0;Â;5,2;;
28.03.15;52.684500 ;32.119100 ;N/A;3;58;0;Â;6,4;;
28.03.15;52.773500 ;32.515699 ;N/A;3;58;0;Â;6,4;;
28.03.15;52.771799 ;32.509399 ;N/A;3;58;0;Â;6,4;;
07.04.15;52.620999 ;32.156700 ;N/A;3,4;66,4;0;Ń;1,6;;
07.04.15;52.618899 ;32.171399 ;N/A;3,4;66,4;0;Ń;1,6;;
08.04.15;52.470500 ;33.315000 ;N/A;5,5;56,8;0;Ń;2,9;;
08.04.15;52.463099 ;33.345099 ;N/A;5,5;56,8;0;Ń;2,9;;
09.04.15;53.105300 ;31.682000 ;N/A;5;53,1;1;ŃÇ;6,2;;
10.04.15;53.082064 ;31.986351 ;1,993;8,6;47,5;0;Ç;3,9;;
10.04.15;52.407864 ;31.737785 ;5,97;8,6;47,5;0;Ç;3,9;;
10.04.15;52.242938 ;31.787910 ;7,01;8,6;47,5;0;Ç;3,9;;
10.04.15;52.714667 ;34.567451 ;6,01 ;8,6;47,5;0;Ç;3,9;;
10.04.15;53.048300 ;31.603300 ;N/A;8,6;47,5;0;Ç;3,9;;
10.04.15;52.669400 ;31.855300 ;N/A;8,6;47,5;0;Ç;3,9;;
10.04.15;52.558100 ;33.446500 ;N/A;8,6;47,5;0;Ç;3,9;;
10.04.15;53.835000 ;33.926600 ;N/A;8,6;47,5;0;Ç;3,9;;
10.04.15;53.672100 ;33.579099 ;N/A;8,6;47,5;0;Ç;3,9;;
11.04.15;53.046166 ;32.036476 ;13,08 ;11,3;46,6;0;ŃÇ;3,3;;
11.04.15;52.759152 ;32.026176 ;2,964 ;11,3;46,6;0;ŃÇ;3,3;;
11.04.15;52.626394 ;31.680107 ;1,993 ;11,3;46,6;0;ŃÇ;3,3;;
11.04.15;53.466387 ;33.449077 ;4,57 ;11,3;46,6;0;ŃÇ;3,3;;
11.04.15;52.558999 ;33.606200 ;N/A;11,3;46,6;0;ŃÇ;3,3;;
12.04.15;53.106392 ;31.749801 ;7,46;12,7;46,1;0;Ţ;2,7;;
12.04.15;53.068451 ;32.058792 ;4,27;12,7;46,1;0;Ţ;2,7;;
12.04.15;53.165298 ;33.273811 ;4,7 ;12,7;46,1;0;Ţ;2,7;;
12.04.15;53.167768 ;33.976936 ;9,55 ;12,7;46,1;0;Ţ;2,7;;
12.04.15;53.721091 ;33.954277 ;6,21 ;12,7;46,1;0;Ţ;2,7;;
12.04.15;53.859006 ;33.344535 ;29,72 ;12,7;46,1;0;Ţ;2,7;;
12.04.15;52.980600 ;32.246499 ;N/A;12,7;46,1;0;Ţ;2,7;;
12.04.15;52.528700 ;31.774099 ;N/A;12,7;46,1;0;Ţ;2,7;;
12.04.15;52.533499 ;31.766200 ;N/A;12,7;46,1;0;Ţ;2,7;;
12.04.15;52.429899 ;32.187499 ;N/A;12,7;46,1;0;Ţ;2,7;;
12.04.15;52.503900 ;32.291400 ;N/A;12,7;46,1;0;Ţ;2,7;;
12.04.15;52.668399 ;32.647999 ;N/A;12,7;46,1;0;Ţ;2,7;;
13.04.15;52.708427 ;31.954078 ;2,893 ;8,9;44;0;ŢÇ;1,6;;
13.04.15;52.125900 ;32.139473 ;2,96 ;8,9;44;0;ŢÇ;1,6;;
